time_bucket_length,location_bucket,linear_svr_best_params,linear_svr_best_score,poly_svr_best_params,poly_svr_best_score,rbf_svr_best_params,rbf_svr_best_score
1,h3_07,"{'C': 100, 'epsilon': 0.2}",-2683.61385056663,"{'C': 100, 'degree': 5, 'epsilon': 0.5, 'gamma': 0.1}",-611.7779638185345,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-750.3007773973865
1,h3_08,"{'C': 10, 'epsilon': 0.5}",-29.006459490425954,"{'C': 10, 'degree': 4, 'epsilon': 0.5, 'gamma': 0.1}",-22.54029525318407,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-20.408145597616322
1,h3_09,"{'C': 100, 'epsilon': 0.2}",-2711.0281736283932,"{'C': 100, 'degree': 4, 'epsilon': 0.1, 'gamma': 0.1}",-1217.7682383042509,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-1200.6155550271144
2,h3_07,"{'C': 100, 'epsilon': 0.5}",-1705.9562485092615,"{'C': 100, 'degree': 5, 'epsilon': 0.1, 'gamma': 0.1}",-840.9947242482218,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-813.1736661273359
2,h3_08,"{'C': 0.1, 'epsilon': 0.4}",-2220.0108396198416,"{'C': 100, 'degree': 5, 'epsilon': 0.5, 'gamma': 0.1}",-652.3096471921594,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-681.5047001164255
2,h3_09,"{'C': 100, 'epsilon': 0.5}",-240.9234639088432,"{'C': 100, 'degree': 4, 'epsilon': 0.5, 'gamma': 0.1}",-123.9221298389223,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-126.14523357030005
6,h3_07,"{'C': 100, 'epsilon': 0.4}",-36.53834597471123,"{'C': 100, 'degree': 4, 'epsilon': 0.5, 'gamma': 'scale'}",-22.691154483238556,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-19.165653219602994
6,h3_08,"{'C': 100, 'epsilon': 0.5}",-1817.3575768926262,"{'C': 100, 'degree': 4, 'epsilon': 0.1, 'gamma': 0.1}",-1197.1696720254295,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-1258.3973221266458
6,h3_09,"{'C': 100, 'epsilon': 0.1}",-5170.5981545455925,"{'C': 100, 'degree': 4, 'epsilon': 0.5, 'gamma': 0.1}",-2809.0770152651503,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-2796.1053787366773
24,h3_07,"{'C': 100, 'epsilon': 0.1}",-6806615.455070692,"{'C': 100, 'degree': 3, 'epsilon': 0.5, 'gamma': 0.1}",-40288968.97115826,"{'C': 100, 'epsilon': 0.1, 'gamma': 'scale'}",-33084599.677989982
24,h3_08,"{'C': 100, 'epsilon': 0.5}",-576.3333977902348,"{'C': 100, 'degree': 4, 'epsilon': 0.3, 'gamma': 'scale'}",-153.1322663523044,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-157.20982581328795
24,h3_09,"{'C': 100, 'epsilon': 0.5}",-16742.12086843799,"{'C': 100, 'degree': 4, 'epsilon': 0.5, 'gamma': 0.1}",-7389.722141778152,"{'C': 100, 'epsilon': 0.3, 'gamma': 0.1}",-8285.409271812128
